day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
3;0;SQUID_INK;1820;1;1819;28;;;1822;28;;;;;1821.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10000;182;17;;;;;183;17;;;;;182.5;0.0
3;0;KELP;2040;29;;;;;2043;28;;;;;2041.5;0.0
3;0;RAINFOREST_RESIN;9992;26;;;;;10008;26;;;;;10000.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10250;36;17;;;;;37;17;;;;;36.5;0.0
3;0;JAMS;6522;272;;;;;6524;272;;;;;6523.0;0.0
3;0;MAGNIFICENT_MACARONS;667;16;665;15;658;26;676;8;685;26;692;15;671.5;0.0
3;0;DJEMBES;13296;53;;;;;13297;53;;;;;13296.5;0.0
3;0;VOLCANIC_ROCK;10165;185;;;;;10167;136;10168;49;;;10166.0;0.0
3;0;VOLCANIC_ROCK_VOUCHER_10500;3;17;;;;;4;17;;;;;3.5;0.0
3;0;VOLCANIC_ROCK_VOUCHER_9750;417;17;;;;;418;17;;;;;417.5;0.0
3;0;PICNIC_BASKET1;58412;2;58411;15;58410;21;58421;2;58422;15;58423;21;58416.5;0.0
3;0;PICNIC_BASKET2;30070;17;30069;21;;;30075;2;30076;36;;;30072.5;0.0
3;0;CROISSANTS;4241;136;;;;;4242;136;;;;;4241.5;0.0
3;0;VOLCANIC_ROCK_VOUCHER_9500;666;17;;;;;667;17;;;;;666.5;0.0
3;100;PICNIC_BASKET1;58416;1;58415;38;;;58426;19;58427;20;;;58421.0;0.0
3;100;VOLCANIC_ROCK_VOUCHER_9750;416;19;;;;;417;19;;;;;416.5;0.0
3;100;PICNIC_BASKET2;30070;1;30069;38;;;30075;19;30076;20;;;30072.5;0.0
3;100;VOLCANIC_ROCK;10164;101;10163;42;;;10165;101;10166;42;;;10164.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_9500;664;19;;;;;665;19;;;;;664.5;0.0
3;100;MAGNIFICENT_MACARONS;668;20;666;18;659;25;677;10;686;25;693;18;672.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10250;35;19;;;;;36;19;;;;;35.5;0.0
3;100;JAMS;6522;155;;;;;6524;155;;;;;6523.0;0.0
3;100;CROISSANTS;4241;98;;;;;4242;98;;;;;4241.5;0.0
3;100;SQUID_INK;1816;26;;;;;1819;26;;;;;1817.5;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10500;3;19;;;;;4;19;;;;;3.5;0.0
3;100;RAINFOREST_RESIN;9992;25;;;;;10008;25;;;;;10000.0;0.0
3;100;VOLCANIC_ROCK_VOUCHER_10000;180;19;;;;;181;19;;;;;180.5;0.0
3;100;DJEMBES;13296;65;;;;;13297;65;;;;;13296.5;0.0
3;100;KELP;2040;26;;;;;2043;26;;;;;2041.5;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10000;184;15;;;;;185;15;;;;;184.5;0.0
3;200;KELP;2040;21;;;;;2043;21;;;;;2041.5;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10250;37;15;;;;;38;15;;;;;37.5;0.0
3;200;JAMS;6522;236;;;;;6524;236;;;;;6523.0;0.0
3;200;CROISSANTS;4241;108;;;;;4242;108;;;;;4241.5;0.0
3;200;DJEMBES;13296;71;;;;;13298;71;;;;;13297.0;0.0
3;200;VOLCANIC_ROCK_VOUCHER_10500;3;15;;;;;4;15;;;;;3.5;0.0
3;200;PICNIC_BASKET2;30069;15;30068;26;;;30075;41;;;;;30072.0;0.0
3;200;VOLCANIC_ROCK_VOUCHER_9750;420;15;;;;;421;15;;;;;420.5;0.0
3;200;PICNIC_BASKET1;58419;15;58418;26;;;58430;15;58431;26;;;58424.5;0.0
3;200;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
3;200;VOLCANIC_ROCK_VOUCHER_9500;669;15;;;;;670;15;;;;;669.5;0.0
3;200;MAGNIFICENT_MACARONS;665;10;662;15;656;21;670;6;674;5;683;21;667.5;0.0
3;200;VOLCANIC_ROCK;10168;99;10167;67;;;10170;172;;;;;10169.0;0.0
3;200;SQUID_INK;1814;21;;;;;1817;21;;;;;1815.5;0.0
3;300;RAINFOREST_RESIN;9992;29;;;;;10008;29;;;;;10000.0;0.0
3;300;VOLCANIC_ROCK_VOUCHER_9500;669;14;;;;;670;14;;;;;669.5;0.0
3;300;VOLCANIC_ROCK_VOUCHER_10250;37;14;;;;;38;14;;;;;37.5;0.0
3;300;JAMS;6522;80;6521;109;;;6523;80;6524;109;;;6522.5;0.0
3;300;SQUID_INK;1813;27;;;;;1816;27;;;;;1814.5;0.0
3;300;VOLCANIC_ROCK;10169;114;10168;42;;;10170;114;10171;42;;;10169.5;0.0
3;300;VOLCANIC_ROCK_VOUCHER_10500;3;14;;;;;4;14;;;;;3.5;0.0
3;300;MAGNIFICENT_MACARONS;665;12;662;13;656;26;674;6;683;26;689;13;669.5;0.0
3;300;VOLCANIC_ROCK_VOUCHER_10000;184;14;;;;;185;14;;;;;184.5;0.0
3;300;DJEMBES;13296;65;;;;;13298;65;;;;;13297.0;0.0
3;300;KELP;2040;27;;;;;2043;27;;;;;2041.5;0.0
3;300;CROISSANTS;4241;119;;;;;4242;119;;;;;4241.5;0.0
3;300;PICNIC_BASKET2;30068;41;;;;;30074;14;30075;27;;;30071.0;0.0
3;300;VOLCANIC_ROCK_VOUCHER_9750;420;14;;;;;421;14;;;;;420.5;0.0
3;300;PICNIC_BASKET1;58420;1;58419;13;58418;27;58429;1;58430;13;58431;27;58424.5;0.0
3;400;MAGNIFICENT_MACARONS;664;20;662;18;655;28;673;10;682;28;689;18;668.5;0.0
3;400;DJEMBES;13297;56;;;;;13299;56;;;;;13298.0;0.0
3;400;VOLCANIC_ROCK_VOUCHER_10500;3;18;;;;;4;18;;;;;3.5;0.0
