timestamp;buyer;seller;symbol;currency;price;quantity
100;;;KELP;SEASHELLS;2034;1
100;;;RAINFOREST_RESIN;SEASHELLS;10002;1
200;;;KELP;SEASHELLS;2035;1
200;;;RAINFOREST_RESIN;SEASHELLS;10004;1
200;;;SQUID_INK;SEASHELLS;1835;1
300;;;KELP;SEASHELLS;2034;1
300;;;SQUID_INK;SEASHELLS;1836;1
500;;;KELP;SEASHELLS;2034;1
500;;;SQUID_INK;SEASHELLS;1836;1
600;;;KELP;SEASHELLS;2033;5
600;;;SQUID_INK;SEASHELLS;1834;5
700;;;KELP;SEASHELLS;2032;1
700;;;SQUID_INK;SEASHELLS;1834;1
800;;;KELP;SEASHELLS;2032;1
800;;;RAINFOREST_RESIN;SEASHELLS;9996;1
800;;;SQUID_INK;SEASHELLS;1836;1
900;;;KELP;SEASHELLS;2035;15
1200;;;KELP;SEASHELLS;2032;1
1200;;;SQUID_INK;SEASHELLS;1839;1
1300;;;RAINFOREST_RESIN;SEASHELLS;10002;1
1400;;;SQUID_INK;SEASHELLS;1842;6
1500;;;KELP;SEASHELLS;2034;1
1500;;;RAINFOREST_RESIN;SEASHELLS;9998;4
1500;;;SQUID_INK;SEASHELLS;1844;1
1900;;;KELP;SEASHELLS;2032;1
2600;;;RAINFOREST_RESIN;SEASHELLS;10002;4
2600;;;RAINFOREST_RESIN;SEASHELLS;10002;1
3000;;;KELP;SEASHELLS;2034;1
3000;;;SQUID_INK;SEASHELLS;1850;1
3100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
3200;;;RAINFOREST_RESIN;SEASHELLS;10002;5
3300;;;RAINFOREST_RESIN;SEASHELLS;10002;1
3700;;;RAINFOREST_RESIN;SEASHELLS;9998;1
4000;;;KELP;SEASHELLS;2032;1
4000;;;SQUID_INK;SEASHELLS;1854;1
4200;;;RAINFOREST_RESIN;SEASHELLS;10002;5
4300;;;KELP;SEASHELLS;2032;2
4300;;;SQUID_INK;SEASHELLS;1854;2
5200;;;KELP;SEASHELLS;2033;5
5200;;;KELP;SEASHELLS;2033;4
5200;;;SQUID_INK;SEASHELLS;1859;5
5200;;;SQUID_INK;SEASHELLS;1859;4
5400;;;KELP;SEASHELLS;2035;1
5400;;;RAINFOREST_RESIN;SEASHELLS;10005;1
5400;;;SQUID_INK;SEASHELLS;1860;1
5500;;;KELP;SEASHELLS;2032;8
5500;;;RAINFOREST_RESIN;SEASHELLS;10004;1
6200;;;KELP;SEASHELLS;2034;1
6200;;;SQUID_INK;SEASHELLS;1861;1
6300;;;KELP;SEASHELLS;2035;11
6300;;;SQUID_INK;SEASHELLS;1862;11
6600;;;KELP;SEASHELLS;2032;7
6600;;;SQUID_INK;SEASHELLS;1860;7
6700;;;KELP;SEASHELLS;2034;1
6700;;;RAINFOREST_RESIN;SEASHELLS;10004;1
6700;;;SQUID_INK;SEASHELLS;1861;1
6800;;;KELP;SEASHELLS;2032;1
6800;;;SQUID_INK;SEASHELLS;1859;1
7200;;;RAINFOREST_RESIN;SEASHELLS;10002;1
7200;;;RAINFOREST_RESIN;SEASHELLS;9996;1
7400;;;KELP;SEASHELLS;2035;13
7400;;;SQUID_INK;SEASHELLS;1862;13
7600;;;RAINFOREST_RESIN;SEASHELLS;10002;1
8000;;;KELP;SEASHELLS;2034;1
8000;;;SQUID_INK;SEASHELLS;1858;1
8200;;;KELP;SEASHELLS;2032;1
8200;;;RAINFOREST_RESIN;SEASHELLS;9996;1
8200;;;SQUID_INK;SEASHELLS;1857;1
9100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
9400;;;RAINFOREST_RESIN;SEASHELLS;10002;1
9500;;;RAINFOREST_RESIN;SEASHELLS;10002;1
9700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
10300;;;KELP;SEASHELLS;2036;1
10300;;;RAINFOREST_RESIN;SEASHELLS;10004;1
10300;;;SQUID_INK;SEASHELLS;1861;1
10600;;;KELP;SEASHELLS;2033;4
10600;;;SQUID_INK;SEASHELLS;1857;4
10700;;;RAINFOREST_RESIN;SEASHELLS;9998;3
10800;;;KELP;SEASHELLS;2033;6
10800;;;KELP;SEASHELLS;2033;6
10800;;;SQUID_INK;SEASHELLS;1857;6
11800;;;KELP;SEASHELLS;2033;4
11800;;;SQUID_INK;SEASHELLS;1858;4
11900;;;RAINFOREST_RESIN;SEASHELLS;10002;1
12700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
12700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
13100;;;KELP;SEASHELLS;2033;2
13100;;;SQUID_INK;SEASHELLS;1852;2
13300;;;RAINFOREST_RESIN;SEASHELLS;10002;2
13700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
13900;;;SQUID_INK;SEASHELLS;1849;3
14000;;;KELP;SEASHELLS;2032;1
14000;;;RAINFOREST_RESIN;SEASHELLS;10002;1
14000;;;RAINFOREST_RESIN;SEASHELLS;10002;5
14000;;;SQUID_INK;SEASHELLS;1852;1
14100;;;KELP;SEASHELLS;2032;15
14100;;;SQUID_INK;SEASHELLS;1851;15
14400;;;KELP;SEASHELLS;2032;1
14400;;;KELP;SEASHELLS;2032;2
14400;;;RAINFOREST_RESIN;SEASHELLS;10002;2
14400;;;RAINFOREST_RESIN;SEASHELLS;10002;2
14400;;;SQUID_INK;SEASHELLS;1853;1
14400;;;SQUID_INK;SEASHELLS;1853;2
14600;;;KELP;SEASHELLS;2033;1
14600;;;SQUID_INK;SEASHELLS;1849;1
14800;;;RAINFOREST_RESIN;SEASHELLS;9998;1
15000;;;KELP;SEASHELLS;2032;1
15000;;;SQUID_INK;SEASHELLS;1849;1
15100;;;RAINFOREST_RESIN;SEASHELLS;9998;1
15800;;;KELP;SEASHELLS;2036;2
15800;;;RAINFOREST_RESIN;SEASHELLS;10004;2
15800;;;SQUID_INK;SEASHELLS;1854;2
16100;;;KELP;SEASHELLS;2033;1
16100;;;KELP;SEASHELLS;2033;1
16100;;;SQUID_INK;SEASHELLS;1857;2
16200;;;KELP;SEASHELLS;2032;1
16200;;;RAINFOREST_RESIN;SEASHELLS;10002;3
16200;;;SQUID_INK;SEASHELLS;1853;1
16300;;;RAINFOREST_RESIN;SEASHELLS;9996;1
16300;;;RAINFOREST_RESIN;SEASHELLS;9996;1
16500;;;SQUID_INK;SEASHELLS;1849;1
17400;;;KELP;SEASHELLS;2036;2
17400;;;RAINFOREST_RESIN;SEASHELLS;9998;2
17400;;;SQUID_INK;SEASHELLS;1851;2
17500;;;KELP;SEASHELLS;2036;12
17500;;;SQUID_INK;SEASHELLS;1851;12
17900;;;KELP;SEASHELLS;2035;1
17900;;;RAINFOREST_RESIN;SEASHELLS;9998;1
17900;;;RAINFOREST_RESIN;SEASHELLS;9998;2
17900;;;RAINFOREST_RESIN;SEASHELLS;9998;1
17900;;;SQUID_INK;SEASHELLS;1849;1
18100;;;KELP;SEASHELLS;2033;8
18100;;;SQUID_INK;SEASHELLS;1842;8
18200;;;KELP;SEASHELLS;2033;1
18200;;;RAINFOREST_RESIN;SEASHELLS;10002;9
18200;;;RAINFOREST_RESIN;SEASHELLS;9996;1
18200;;;SQUID_INK;SEASHELLS;1840;1
18500;;;KELP;SEASHELLS;2033;1
18500;;;KELP;SEASHELLS;2033;1
18500;;;SQUID_INK;SEASHELLS;1840;1
18500;;;SQUID_INK;SEASHELLS;1840;1
18600;;;KELP;SEASHELLS;2033;9
18600;;;SQUID_INK;SEASHELLS;1837;1
18900;;;RAINFOREST_RESIN;SEASHELLS;10002;1
19300;;;RAINFOREST_RESIN;SEASHELLS;9998;2
19300;;;RAINFOREST_RESIN;SEASHELLS;9998;6
19500;;;KELP;SEASHELLS;2033;14
19500;;;SQUID_INK;SEASHELLS;1828;14
19600;;;KELP;SEASHELLS;2036;11
19600;;;RAINFOREST_RESIN;SEASHELLS;10002;1
19600;;;SQUID_INK;SEASHELLS;1831;11
19900;;;RAINFOREST_RESIN;SEASHELLS;9996;1
20000;;;RAINFOREST_RESIN;SEASHELLS;9998;1
20200;;;RAINFOREST_RESIN;SEASHELLS;10002;1
20400;;;KELP;SEASHELLS;2033;3
20500;;;KELP;SEASHELLS;2034;2
20500;;;KELP;SEASHELLS;2033;8
20500;;;SQUID_INK;SEASHELLS;1834;2
20500;;;SQUID_INK;SEASHELLS;1833;8
20600;;;KELP;SEASHELLS;2036;2
20600;;;RAINFOREST_RESIN;SEASHELLS;9998;2
20600;;;SQUID_INK;SEASHELLS;1836;2
20700;;;KELP;SEASHELLS;2034;2
20700;;;SQUID_INK;SEASHELLS;1837;2
20900;;;KELP;SEASHELLS;2033;1
20900;;;SQUID_INK;SEASHELLS;1838;1
21100;;;KELP;SEASHELLS;2034;2
21100;;;SQUID_INK;SEASHELLS;1836;2
