timestamp;buyer;seller;symbol;currency;price;quantity
0;;;KELP;SEASHELLS;2029;13
0;;;KELP;SEASHELLS;2029;1
0;;;RAINFOREST_RESIN;SEASHELLS;10004;1
1100;;;RAINFOREST_RESIN;SEASHELLS;9996;2
1700;;;KELP;SEASHELLS;2026;8
1700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
1800;;;RAINFOREST_RESIN;SEASHELLS;10002;1
1900;;;KELP;SEASHELLS;2026;1
2000;;;RAINFOREST_RESIN;SEASHELLS;9998;1
2400;;;KELP;SEASHELLS;2025;1
2900;;;RAINFOREST_RESIN;SEASHELLS;9996;1
2900;;;RAINFOREST_RESIN;SEASHELLS;9996;11
3000;;;KELP;SEASHELLS;2027;1
3000;;;RAINFOREST_RESIN;SEASHELLS;10005;1
3100;;;KELP;SEASHELLS;2023;2
3100;;;RAINFOREST_RESIN;SEASHELLS;9996;2
3200;;;KELP;SEASHELLS;2023;2
3200;;;RAINFOREST_RESIN;SEASHELLS;9996;1
3200;;;RAINFOREST_RESIN;SEASHELLS;9996;1
3700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
3800;;;KELP;SEASHELLS;2023;14
3800;;;KELP;SEASHELLS;2023;1
3800;;;RAINFOREST_RESIN;SEASHELLS;9996;1
4200;;;RAINFOREST_RESIN;SEASHELLS;9996;2
4300;;;KELP;SEASHELLS;2025;1
4300;;;KELP;SEASHELLS;2023;2
4300;;;RAINFOREST_RESIN;SEASHELLS;9995;2
4500;;;KELP;SEASHELLS;2023;1
4700;;;KELP;SEASHELLS;2023;7
4800;;;KELP;SEASHELLS;2027;2
4800;;;RAINFOREST_RESIN;SEASHELLS;10004;2
5300;;;KELP;SEASHELLS;2025;1
5700;;;KELP;SEASHELLS;2024;1
6100;;;KELP;SEASHELLS;2024;1
6500;;;RAINFOREST_RESIN;SEASHELLS;9998;1
6600;;;RAINFOREST_RESIN;SEASHELLS;10004;2
6700;;;RAINFOREST_RESIN;SEASHELLS;10002;3
6900;;;KELP;SEASHELLS;2026;1
6900;;;RAINFOREST_RESIN;SEASHELLS;10002;1
7000;;;KELP;SEASHELLS;2027;2
7000;;;RAINFOREST_RESIN;SEASHELLS;10005;2
7300;;;KELP;SEASHELLS;2027;2
7300;;;RAINFOREST_RESIN;SEASHELLS;10004;2
7400;;;KELP;SEASHELLS;2024;1
7700;;;KELP;SEASHELLS;2024;1
8100;;;KELP;SEASHELLS;2027;1
8100;;;RAINFOREST_RESIN;SEASHELLS;9996;1
8100;;;RAINFOREST_RESIN;SEASHELLS;9996;1
8600;;;KELP;SEASHELLS;2023;1
8800;;;RAINFOREST_RESIN;SEASHELLS;9998;1
9200;;;KELP;SEASHELLS;2025;1
10300;;;KELP;SEASHELLS;2024;1
10300;;;RAINFOREST_RESIN;SEASHELLS;9998;1
10400;;;RAINFOREST_RESIN;SEASHELLS;10002;1
10800;;;RAINFOREST_RESIN;SEASHELLS;10004;2
10800;;;RAINFOREST_RESIN;SEASHELLS;10004;10
11100;;;RAINFOREST_RESIN;SEASHELLS;9998;3
11100;;;RAINFOREST_RESIN;SEASHELLS;9998;4
11300;;;KELP;SEASHELLS;2022;3
11400;;;KELP;SEASHELLS;2022;2
11400;;;RAINFOREST_RESIN;SEASHELLS;9996;1
11500;;;RAINFOREST_RESIN;SEASHELLS;10002;2
11700;;;KELP;SEASHELLS;2023;2
11800;;;KELP;SEASHELLS;2025;1
12000;;;RAINFOREST_RESIN;SEASHELLS;10002;1
12400;;;KELP;SEASHELLS;2026;15
12500;;;KELP;SEASHELLS;2023;1
13000;;;KELP;SEASHELLS;2025;1
13000;;;RAINFOREST_RESIN;SEASHELLS;10002;1
13200;;;RAINFOREST_RESIN;SEASHELLS;9998;2
13300;;;KELP;SEASHELLS;2026;2
13300;;;RAINFOREST_RESIN;SEASHELLS;10005;2
13600;;;KELP;SEASHELLS;2023;1
14200;;;KELP;SEASHELLS;2023;1
15000;;;KELP;SEASHELLS;2024;2
15200;;;KELP;SEASHELLS;2022;1
15300;;;RAINFOREST_RESIN;SEASHELLS;10002;1
15400;;;RAINFOREST_RESIN;SEASHELLS;9998;1
15600;;;KELP;SEASHELLS;2025;2
15600;;;RAINFOREST_RESIN;SEASHELLS;10004;2
15700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
15800;;;KELP;SEASHELLS;2025;1
16200;;;KELP;SEASHELLS;2023;1
16200;;;KELP;SEASHELLS;2023;1
16200;;;RAINFOREST_RESIN;SEASHELLS;9998;1
16300;;;RAINFOREST_RESIN;SEASHELLS;10004;1
16400;;;RAINFOREST_RESIN;SEASHELLS;10002;1
16600;;;KELP;SEASHELLS;2023;1
16700;;;KELP;SEASHELLS;2025;1
16700;;;RAINFOREST_RESIN;SEASHELLS;10002;1
16800;;;RAINFOREST_RESIN;SEASHELLS;9995;5
18200;;;KELP;SEASHELLS;2024;4
18200;;;KELP;SEASHELLS;2024;1
18500;;;KELP;SEASHELLS;2026;1
19000;;;KELP;SEASHELLS;2024;10
19300;;;KELP;SEASHELLS;2024;1
