strategy,dataset,day,total_pnl,osmium_pnl,pepper_root_pnl,osmium_position,pepper_root_position
main_final_round2_top05.py,R1,-2,95921.5,16360.5,79561.0,61,80
main_final_round2_top05.py,R1,-1,97480.0,18246.0,79234.0,51,80
main_final_round2_top05.py,R1,0,96670.0,17220.0,79450.0,11,80
main_final_round2_top05.py,R2,-1,97531.0,18209.0,79322.0,29,80
main_final_round2_top05.py,R2,0,98516.0,19202.0,79314.0,8,80
main_final_round2_top05.py,R2,1,98220.0,18900.0,79320.0,4,80
main_final_round2_top05_hardened.py,R1,-2,95921.5,16360.5,79561.0,61,80
main_final_round2_top05_hardened.py,R1,-1,97480.0,18246.0,79234.0,51,80
main_final_round2_top05_hardened.py,R1,0,96670.0,17220.0,79450.0,11,80
main_final_round2_top05_hardened.py,R2,-1,97531.0,18209.0,79322.0,29,80
main_final_round2_top05_hardened.py,R2,0,98516.0,19202.0,79314.0,8,80
main_final_round2_top05_hardened.py,R2,1,98220.0,18900.0,79320.0,4,80
