strategy,dataset,day,total_pnl,osmium_pnl,pepper_root_pnl,osmium_position,pepper_root_position
mainbh.py,R1,-2,9898.0,2497.0,7401.0,-50,80
mainbh.py,R1,-1,9183.0,1669.0,7514.0,-74,80
mainbh.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh.py,R2,-1,9581.0,2219.0,7362.0,33,80
mainbh.py,R2,0,9268.0,1994.0,7274.0,23,80
mainbh.py,R2,1,8828.0,1468.0,7360.0,25,80
mainbh_osmium_alpha.py,R1,-2,9930.0,2529.0,7401.0,-50,80
mainbh_osmium_alpha.py,R1,-1,9186.0,1672.0,7514.0,-71,80
mainbh_osmium_alpha.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh_osmium_alpha.py,R2,-1,9581.0,2219.0,7362.0,33,80
mainbh_osmium_alpha.py,R2,0,9293.0,2019.0,7274.0,28,80
mainbh_osmium_alpha.py,R2,1,8881.0,1521.0,7360.0,25,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,9887.0,2486.0,7401.0,-48,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,9186.0,1672.0,7514.0,-71,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,9581.0,2219.0,7362.0,33,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,9293.0,2019.0,7274.0,28,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,8881.0,1521.0,7360.0,25,80
cand_no_micro_depth_top05.py,R1,-2,9928.0,2527.0,7401.0,-50,80
cand_no_micro_depth_top05.py,R1,-1,9201.0,1687.0,7514.0,-74,80
cand_no_micro_depth_top05.py,R1,0,9486.0,2076.0,7410.0,25,80
cand_no_micro_depth_top05.py,R2,-1,9581.0,2219.0,7362.0,33,80
cand_no_micro_depth_top05.py,R2,0,9290.0,2016.0,7274.0,28,80
cand_no_micro_depth_top05.py,R2,1,8878.0,1518.0,7360.0,25,80
s9700_one_sided.py,R1,-2,9943.0,2542.0,7401.0,-55,80
s9700_one_sided.py,R1,-1,9227.0,1713.0,7514.0,-69,80
s9700_one_sided.py,R1,0,9486.0,2076.0,7410.0,25,80
s9700_one_sided.py,R2,-1,9596.0,2234.0,7362.0,33,80
s9700_one_sided.py,R2,0,9284.0,2010.0,7274.0,22,80
s9700_one_sided.py,R2,1,8912.0,1552.0,7360.0,22,80
s9700_wallmid_void_sign.py,R1,-2,9934.0,2533.0,7401.0,-50,80
s9700_wallmid_void_sign.py,R1,-1,9204.0,1690.0,7514.0,-74,80
s9700_wallmid_void_sign.py,R1,0,9486.0,2076.0,7410.0,25,80
s9700_wallmid_void_sign.py,R2,-1,9581.0,2219.0,7362.0,33,80
s9700_wallmid_void_sign.py,R2,0,9293.0,2019.0,7274.0,28,80
s9700_wallmid_void_sign.py,R2,1,8881.0,1521.0,7360.0,25,80
s9700_gamma_wallmid.py,R1,-2,9897.0,2496.0,7401.0,-48,80
s9700_gamma_wallmid.py,R1,-1,9194.0,1680.0,7514.0,-71,80
s9700_gamma_wallmid.py,R1,0,9486.0,2076.0,7410.0,25,80
s9700_gamma_wallmid.py,R2,-1,9581.0,2219.0,7362.0,33,80
s9700_gamma_wallmid.py,R2,0,9293.0,2019.0,7274.0,28,80
s9700_gamma_wallmid.py,R2,1,8881.0,1521.0,7360.0,25,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,-2,9908.0,2507.0,7401.0,-50,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,-1,9201.0,1687.0,7514.0,-71,80
mainbh_osmium_ret5_pressure_size_alpha.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,-1,9553.0,2191.0,7362.0,42,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,0,9299.0,2025.0,7274.0,27,80
mainbh_osmium_ret5_pressure_size_alpha.py,R2,1,8884.0,1524.0,7360.0,27,80
mainbh_osmium_ret5_alpha.py,R1,-2,9887.0,2486.0,7401.0,-48,80
mainbh_osmium_ret5_alpha.py,R1,-1,9186.0,1672.0,7514.0,-71,80
mainbh_osmium_ret5_alpha.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh_osmium_ret5_alpha.py,R2,-1,9581.0,2219.0,7362.0,33,80
mainbh_osmium_ret5_alpha.py,R2,0,9293.0,2019.0,7274.0,28,80
mainbh_osmium_ret5_alpha.py,R2,1,8881.0,1521.0,7360.0,25,80
mainbh_osmium_ret5_ret10_alpha.py,R1,-2,9891.0,2490.0,7401.0,-48,80
mainbh_osmium_ret5_ret10_alpha.py,R1,-1,9186.0,1672.0,7514.0,-71,80
mainbh_osmium_ret5_ret10_alpha.py,R1,0,9486.0,2076.0,7410.0,25,80
mainbh_osmium_ret5_ret10_alpha.py,R2,-1,9581.0,2219.0,7362.0,33,80
mainbh_osmium_ret5_ret10_alpha.py,R2,0,9293.0,2019.0,7274.0,28,80
mainbh_osmium_ret5_ret10_alpha.py,R2,1,8881.0,1521.0,7360.0,25,80
s9700_pepper_passive_5k_bid0.py,R1,-2,9945.0,2527.0,7418.0,-50,80
s9700_pepper_passive_5k_bid0.py,R1,-1,9084.0,1687.0,7397.0,-74,80
s9700_pepper_passive_5k_bid0.py,R1,0,9307.0,2076.0,7231.0,25,80
s9700_pepper_passive_5k_bid0.py,R2,-1,9365.0,2219.0,7146.0,33,80
s9700_pepper_passive_5k_bid0.py,R2,0,8953.0,2016.0,6937.0,28,80
s9700_pepper_passive_5k_bid0.py,R2,1,8493.0,1518.0,6975.0,25,80
s9700_pepper_passive_5k_bid1.py,R1,-2,9931.0,2527.0,7404.0,-50,80
s9700_pepper_passive_5k_bid1.py,R1,-1,9080.0,1687.0,7393.0,-74,80
s9700_pepper_passive_5k_bid1.py,R1,0,9301.0,2076.0,7225.0,25,80
s9700_pepper_passive_5k_bid1.py,R2,-1,9365.0,2219.0,7146.0,33,80
s9700_pepper_passive_5k_bid1.py,R2,0,8953.0,2016.0,6937.0,28,80
s9700_pepper_passive_5k_bid1.py,R2,1,8488.0,1518.0,6970.0,25,80
s9700_pepper_passive_10k_bid1.py,R1,-2,9753.0,2527.0,7226.0,-50,80
s9700_pepper_passive_10k_bid1.py,R1,-1,8945.0,1687.0,7258.0,-74,80
