file,r1_total_mean,r1_days,r1_osm_mean,r1_pep_mean,r2_total_mean,r2_days,r2_osm_mean,r2_pep_mean,avg_total_mean,avg_osm_mean
mainbh_osmium_ret5_pressure_alpha.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_invskew3.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_low_imbalance.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_no_depthtrend.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_offset_tighter.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_offset_wider.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_pressure_stronger.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_qsize15.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_qsize25.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_045.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_045_clip2.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_045_ret5_012.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_060.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_060_ret5_012.py,7970.0,8026.0;7871.0;8013.0,528.33,7441.67,7814.67,7950.0;7921.0;7573.0,482.67,7332.0,7892.34,505.5
cand_ret1_045_takealpha025.py,7955.67,7992.0;7869.0;8006.0,514.0,7441.67,7813.0,7925.0;7919.0;7595.0,481.0,7332.0,7884.34,497.5
mainbh_osmium_ret5_pressure_pepper_sweep_entry.py,7906.33,8008.0;7829.0;7882.0,528.33,7378.0,7751.33,7898.0;7892.0;7464.0,482.67,7268.67,7828.83,505.5
