strategy,dataset,day,total_pnl,osmium_pnl,pepper_root_pnl,osmium_position,pepper_root_position
mainbh_osmium_ret5_pressure_alpha.py,R1,-2,95929.5,16368.5,79561.0,61,80
mainbh_osmium_ret5_pressure_alpha.py,R1,-1,97519.0,18285.0,79234.0,51,80
mainbh_osmium_ret5_pressure_alpha.py,R1,0,96705.0,17255.0,79450.0,11,80
mainbh_osmium_ret5_pressure_alpha.py,R2,-1,97498.0,18176.0,79322.0,28,80
mainbh_osmium_ret5_pressure_alpha.py,R2,0,98540.0,19226.0,79314.0,8,80
mainbh_osmium_ret5_pressure_alpha.py,R2,1,98251.0,18931.0,79320.0,4,80
cand_no_micro_depth_top05.py,R1,-2,95921.5,16360.5,79561.0,61,80
cand_no_micro_depth_top05.py,R1,-1,97480.0,18246.0,79234.0,51,80
cand_no_micro_depth_top05.py,R1,0,96670.0,17220.0,79450.0,11,80
cand_no_micro_depth_top05.py,R2,-1,97531.0,18209.0,79322.0,29,80
cand_no_micro_depth_top05.py,R2,0,98516.0,19202.0,79314.0,8,80
cand_no_micro_depth_top05.py,R2,1,98220.0,18900.0,79320.0,4,80
s9700_pepper_sweep.py,R1,-2,95903.5,16360.5,79543.0,61,80
s9700_pepper_sweep.py,R1,-1,97438.0,18246.0,79192.0,51,80
s9700_pepper_sweep.py,R1,0,96539.0,17220.0,79319.0,11,80
s9700_pepper_sweep.py,R2,-1,97500.0,18209.0,79291.0,29,80
s9700_pepper_sweep.py,R2,0,98487.0,19202.0,79285.0,8,80
s9700_pepper_sweep.py,R2,1,98111.0,18900.0,79211.0,4,80
s9700_one_sided.py,R1,-2,96090.0,16529.0,79561.0,60,80
s9700_one_sided.py,R1,-1,97741.0,18507.0,79234.0,51,80
s9700_one_sided.py,R1,0,96767.0,17317.0,79450.0,7,80
s9700_one_sided.py,R2,-1,97700.0,18378.0,79322.0,22,80
s9700_one_sided.py,R2,0,98533.0,19219.0,79314.0,9,80
s9700_one_sided.py,R2,1,98430.0,19110.0,79320.0,9,80
