day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
2;0;PICNIC_BASKET2;30094;16;30093;30;;;30099;2;30100;44;;;30096.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_9750;469;16;;;;;470;16;;;;;469.5;0.0
2;0;RAINFOREST_RESIN;9992;33;;;;;10008;33;;;;;10000.0;0.0
2;0;VOLCANIC_ROCK_VOUCHER_9500;718;16;;;;;719;16;;;;;718.5;0.0
2;0;VOLCANIC_ROCK;10218;148;10217;61;;;10219;148;10220;61;;;10218.5;0.0
2;0;SQUID_INK;1799;28;;;;;1802;27;;;;;1800.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10250;63;16;;;;;64;16;;;;;63.5;0.0
2;0;KELP;2044;28;;;;;2047;27;;;;;2045.5;0.0
2;0;DJEMBES;13419;72;;;;;13420;72;;;;;13419.5;0.0
2;0;CROISSANTS;4265;61;4264;56;;;4266;117;;;;;4265.5;0.0
2;0;JAMS;6519;56;6518;125;;;6520;56;6521;125;;;6519.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10000;233;16;;;;;234;16;;;;;233.5;0.0
2;0;VOLCANIC_ROCK_VOUCHER_10500;8;16;;;;;9;16;;;;;8.5;0.0
2;0;PICNIC_BASKET1;58702;16;58701;30;;;58712;16;58713;30;;;58707.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10500;8;12;;;;;9;12;;;;;8.5;0.0
2;100;VOLCANIC_ROCK;10217;114;10216;57;;;10218;114;10219;57;;;10217.5;0.0
2;100;DJEMBES;13419;20;13418;37;;;13420;57;;;;;13419.5;0.0
2;100;CROISSANTS;4265;50;4264;87;;;4266;137;;;;;4265.5;0.0
2;100;PICNIC_BASKET1;58705;2;58704;10;58703;20;58714;2;58715;10;58716;20;58709.5;0.0
2;100;PICNIC_BASKET2;30094;2;30093;30;;;30099;12;30100;20;;;30096.5;0.0
2;100;VOLCANIC_ROCK_VOUCHER_9750;468;12;;;;;470;12;;;;;469.0;0.0
2;100;RAINFOREST_RESIN;9992;34;;;;;10008;34;;;;;10000.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_9500;717;12;;;;;719;12;;;;;718.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10250;62;12;;;;;63;12;;;;;62.5;0.0
2;100;KELP;2046;7;2045;4;2044;33;2047;30;;;;;2046.5;0.0
2;100;SQUID_INK;1802;7;1801;4;1800;33;1803;30;;;;;1802.5;0.0
2;100;JAMS;6519;189;;;;;6521;189;;;;;6520.0;0.0
2;100;VOLCANIC_ROCK_VOUCHER_10000;234;12;;;;;235;12;;;;;234.5;0.0
2;200;SQUID_INK;1801;20;;;;;1804;20;;;;;1802.5;0.0
2;200;JAMS;6519;75;6518;153;;;6520;75;6521;153;;;6519.5;0.0
2;200;RAINFOREST_RESIN;9992;35;;;;;10008;35;;;;;10000.0;0.0
2;200;VOLCANIC_ROCK_VOUCHER_10250;64;14;;;;;65;14;;;;;64.5;0.0
